region,year,rate,latest rate
Cherkasy,1989,-0.7,-10
Cherkasy,1990,-2.1,-10
Cherkasy,1991,-3.3,-10
Cherkasy,1992,-4.1,-10
Cherkasy,1993,-6.2,-10
Cherkasy,1994,-6.7,-10
Cherkasy,1995,-7.5,-10
Cherkasy,1996,-8,-10
Cherkasy,1997,-8.1,-10
Cherkasy,1998,-8.3,-10
Cherkasy,1999,-8.8,-10
Cherkasy,2000,-9.9,-10
Cherkasy,2001,-10,-10
Cherkasy,2002,-10.2,-10
Cherkasy,2003,-9.9,-10
Cherkasy,2004,-10.4,-10
Cherkasy,2005,-10.9,-10
Cherkasy,2006,-9.4,-10
Cherkasy,2007,-9.3,-10
Cherkasy,2008,-8.4,-10
Cherkasy,2009,-7.2,-10
Cherkasy,2010,-7.2,-10
Cherkasy,2011,-6.6,-10
Cherkasy,2012,-6.1,-10
Cherkasy,2013,-6.6,-10
Cherkasy,2014,-6.8,-10
Cherkasy,2015,-7,-10
Cherkasy,2016,-7.8,-10
Cherkasy,2017,-8.4,-10
Cherkasy,2018,-9.5,-10
Cherkasy,2019,-10,-10
Chernivtsi,1989,4.2,-3.1
Chernivtsi,1990,3.8,-3.1
Chernivtsi,1991,2.9,-3.1
Chernivtsi,1992,2,-3.1
Chernivtsi,1993,0.9,-3.1
Chernivtsi,1994,0.3,-3.1
Chernivtsi,1995,-0.3,-3.1
Chernivtsi,1996,-0.7,-3.1
Chernivtsi,1997,-1.1,-3.1
Chernivtsi,1998,-0.9,-3.1
Chernivtsi,1999,-2.2,-3.1
Chernivtsi,2000,-2.4,-3.1
Chernivtsi,2001,-2.9,-3.1
Chernivtsi,2002,-3.3,-3.1
Chernivtsi,2003,-3.7,-3.1
Chernivtsi,2004,-2.5,-3.1
Chernivtsi,2005,-3.2,-3.1
Chernivtsi,2006,-2.3,-3.1
Chernivtsi,2007,-2.6,-3.1
Chernivtsi,2008,-1.3,-3.1
Chernivtsi,2009,-0.7,-3.1
Chernivtsi,2010,-0.8,-3.1
Chernivtsi,2011,0.1,-3.1
Chernivtsi,2012,0.3,-3.1
Chernivtsi,2013,-0.1,-3.1
Chernivtsi,2014,0,-3.1
Chernivtsi,2015,-1.2,-3.1
Chernivtsi,2016,-1.5,-3.1
Chernivtsi,2017,-2,-3.1
Chernivtsi,2018,-2.8,-3.1
Chernivtsi,2019,-3.1,-3.1
Chernihiv,1989,-2.1,-12.5
Chernihiv,1990,-4,-12.5
Chernihiv,1991,-5.7,-12.5
Chernihiv,1992,-6.7,-12.5
Chernihiv,1993,-8.5,-12.5
Chernihiv,1994,-9.9,-12.5
Chernihiv,1995,-10.7,-12.5
Chernihiv,1996,-10.6,-12.5
Chernihiv,1997,-10.7,-12.5
Chernihiv,1998,-10.8,-12.5
Chernihiv,1999,-12.2,-12.5
Chernihiv,2000,-12.9,-12.5
Chernihiv,2001,-13.1,-12.5
Chernihiv,2002,-13,-12.5
Chernihiv,2003,-13.2,-12.5
Chernihiv,2004,-13.2,-12.5
Chernihiv,2005,-14.1,-12.5
Chernihiv,2006,-13,-12.5
Chernihiv,2007,-13.1,-12.5
Chernihiv,2008,-12.2,-12.5
Chernihiv,2009,-10.5,-12.5
Chernihiv,2010,-10.5,-12.5
Chernihiv,2011,-9.2,-12.5
Chernihiv,2012,-9.3,-12.5
Chernihiv,2013,-9.4,-12.5
Chernihiv,2014,-10.2,-12.5
Chernihiv,2015,-10.3,-12.5
Chernihiv,2016,-10.3,-12.5
Chernihiv,2017,-11,-12.5
Chernihiv,2018,-12.3,-12.5
Chernihiv,2019,-12.5,-12.5
Kyiv City,1989,5.3,-0.2
Kyiv City,1990,3.4,-0.2
Kyiv City,1991,1.8,-0.2
Kyiv City,1992,0.2,-0.2
Kyiv City,1993,-1.7,-0.2
Kyiv City,1994,-2.7,-0.2
Kyiv City,1995,-3.5,-0.2
Kyiv City,1996,-3.2,-0.2
Kyiv City,1997,-2.5,-0.2
Kyiv City,1998,-2.8,-0.2
Kyiv City,1999,-2.9,-0.2
Kyiv City,2000,-2.9,-0.2
Kyiv City,2001,-3,-0.2
Kyiv City,2002,-2.5,-0.2
Kyiv City,2003,-1.9,-0.2
Kyiv City,2004,-0.9,-0.2
Kyiv City,2005,-1.4,-0.2
Kyiv City,2006,-0.7,-0.2
Kyiv City,2007,-1,-0.2
Kyiv City,2008,0.7,-0.2
Kyiv City,2009,1.5,-0.2
Kyiv City,2010,1.2,-0.2
Kyiv City,2011,1.8,-0.2
Kyiv City,2012,2.2,-0.2
Kyiv City,2013,1.9,-0.2
Kyiv City,2014,1.7,-0.2
Kyiv City,2015,1.8,-0.2
Kyiv City,2016,2,-0.2
Kyiv City,2017,1.6,-0.2
Kyiv City,2018,0.8,-0.2
Kyiv City,2019,-0.2,-0.2
Sevastopol',1989,,-2.2
Sevastopol',1990,3.2,-2.2
Sevastopol',1991,1.7,-2.2
Sevastopol',1992,-0.7,-2.2
Sevastopol',1993,-2.7,-2.2
Sevastopol',1994,-4.4,-2.2
Sevastopol',1995,-6.9,-2.2
Sevastopol',1996,-5.6,-2.2
Sevastopol',1997,-4.8,-2.2
Sevastopol',1998,-5.5,-2.2
Sevastopol',1999,-5.6,-2.2
Sevastopol',2000,-6.3,-2.2
Sevastopol',2001,-6.1,-2.2
Sevastopol',2002,-5.6,-2.2
Sevastopol',2003,-5.4,-2.2
Sevastopol',2004,-4.8,-2.2
Sevastopol',2005,-5.8,-2.2
Sevastopol',2006,-5,-2.2
Sevastopol',2007,-5,-2.2
Sevastopol',2008,-4.6,-2.2
Sevastopol',2009,-3.3,-2.2
Sevastopol',2010,-3.7,-2.2
Sevastopol',2011,-2.9,-2.2
Sevastopol',2012,-1.7,-2.2
Sevastopol',2013,-2.2,-2.2
Sevastopol',2014,,-2.2
Sevastopol',2015,,-2.2
Sevastopol',2016,,-2.2
Sevastopol',2017,,-2.2
Sevastopol',2018,,-2.2
Sevastopol',2019,,-2.2
